,Unnamed: 0,date,city,duration,summary,posted,state_idaho,state_utah,Changing,Chevron,Cigar,Circle,Cone,Cross,Cylinder,Diamond,Disk,Egg,Fireball,Flash,Formation,Light,Other,Oval,Rectangle,Sphere,Teardrop,Triangle,Unknown,changing,light,other
32977,32977,7/27/16 22:38,Buhl,30 minutes,"We saw a very large, long object with orangish lights on the bottom, moving over the tree tops.  ((NUFORC Note:  Space debris.  PD))",8/2/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32978,32978,7/27/16 22:30,DeSmet,45 seconds,Moving star.  ((NUFORC Note:  Chinese rocket re-entry??  PD)),8/2/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32979,32979,7/27/16 22:30,Mountain Home,2-4 minutes,Two UFOs witnessed between Boise and Mountain Home.  ((NUFORC Note:  Chinese rocket re-entry.  PD)),8/2/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32980,32980,7/27/16 05:10,Nampa,5+ minutes,"Yellowish light moving through early morning sky - no sound, no strobes",8/2/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32981,32981,7/24/16 23:30,Eden,3 seconds,Anyone else seen it?,8/2/16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32982,32982,7/17/16 21:00,Firth,21:01,((HOAX??))  Bright blue green ball of light. It was bright to where u could not miss it sat there for 10 seconds. ((anonymous report)),7/22/16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32983,32983,7/17/16 03:00,Boise,15 minutes,Odd Moving Glittery Light.,7/22/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32984,32984,7/16/16 03:00,Hailey,hours?,"Bright, white, blue and red flashing lights above Quigley Canyon in Hailey, Idaho.  ((anonymous report))",7/22/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32985,32985,7/15/16 20:30,Boise,2 hours,Unkown object hovers in sky above prison complex.  ((anonymous report)),7/22/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32986,32986,7/10/16 23:00,Boise,2 minutes,Green flashing light hovering then suddenly bolting off at a high rate of speed.,7/15/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
