station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,pm1i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_ti0e,feel,metar
BOI,9/1/2020 5:50,-116.2406,43.5667,0,0,0,0,0,0,30.08,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010550Z AUTO 00000KT 10S0 CLR 16/03 A3007 R0K T01600030 0ADISHF
BOI,9/1/2020 5:53,-116.2406,43.5667,60.1,37.9,43.61,0,0,0,30.08,1016.8,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010553Z 00000KT 10S0 CLR 16/03 A3008 R0K AO2 SLP168 T01560033 10233 20156 51018
BOI,9/1/2020 5:55,-116.2406,43.5667,0,0,0,0,0,0,30.08,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010555Z AUTO 00000KT 10S0 CLR 16/04 A3007 R0K T01600040 0ADISHF
BOI,9/1/2020 6:00,-116.2406,43.5667,0,0,0,0,0,0,30.08,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010600Z AUTO 00000KT 10S0 CLR 16/04 A3007 R0K T01600040 0ADISHF
BOI,9/1/2020 6:05,-116.2406,43.5667,0,0,0,0,0,0,30.08,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010605Z AUTO 00000KT 10S0 CLR 16/04 A3007 R0K T01600040 0ADISHF
BOI,9/1/2020 6:10,-116.2406,43.5667,0,0,0,0,0,0,30.08,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010610Z AUTO 00000KT 10S0 CLR 15/04 A3007 R0K T01500040 0ADISHF
BOI,9/1/2020 6:15,-116.2406,43.5667,0,0,0,0,0,0,30.08,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010615Z AUTO 00000KT 10S0 CLR 14/04 A3007 R0K T01400040 0ADISHF
BOI,9/1/2020 6:20,-116.2406,43.5667,0,0,0,230,2,0,30.08,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010620Z AUTO 23002KT 10S0 CLR 14/04 A3007 R0K T01400040 0ADISHF
BOI,9/1/2020 6:25,-116.2406,43.5667,0,0,0,250,4,0,30.08,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010625Z AUTO 25004KT 10S0 CLR 14/04 A3007 R0K T01400040 0ADISHF
BOI,9/1/2020 6:30,-116.2406,43.5667,0,0,0,270,4,0,30.08,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010630Z AUTO 27004KT 10S0 CLR 14/04 A3007 R0K T01400040 0ADISHF
BOI,9/1/2020 6:35,-116.2406,43.5667,0,0,0,290,2,0,30.08,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010635Z AUTO 29002KT 10S0 CLR 15/04 A3007 R0K T01500040 0ADISHF
BOI,9/1/2020 6:40,-116.2406,43.5667,0,0,0,310,2,0,30.08,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010640Z AUTO 31002KT 10S0 CLR 15/04 A3007 R0K T01500040 0ADISHF
BOI,9/1/2020 6:45,-116.2406,43.5667,0,0,0,290,2,0,30.09,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010645Z AUTO 29002KT 10S0 CLR 15/04 A3009 R0K T01500040 0ADISHF
BOI,9/1/2020 6:50,-116.2406,43.5667,0,0,0,290,4,0,30.09,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010650Z AUTO 29004KT 10S0 CLR 15/04 A3009 R0K T01500040 0ADISHF
